sample,sigma_bg,sigma_1,sigma_2,has_class1,has_class2,loss,nfev,elapsed_s,E_gap_mean,E_gap_std,relative_error
train_sample_1,0.8025753650226843,0.0001,10.300265542191646,True,True,3.2275822918570807,136,20.78527593612671,-0.0003248923716526481,0.03701129550517072,0.08363434771266301
train_sample_2,0.7949126209137952,0.0001,4.999581891815496,True,True,3.3272503887538396,60,8.655912399291992,-0.000314264914236272,0.037578540866286494,0.0847049339208955
train_sample_3,0.8176106084075075,,4.999991059132451,False,True,2.5152448051002496,39,5.379768371582031,-0.00029049340543556035,0.03267272237238994,0.0774850307760992
train_sample_4,0.862741851197507,0.0001,,True,False,2.837599320012572,57,8.087438583374023,-0.00030137025029217395,0.034703359330371594,0.08466498800130826
eval_L1_S1,0.8007709099946546,0.0001,,True,False,3.5650215135902243,57,8.20732045173645,-0.0003126061008579171,0.0388981915205266,0.08682281491608247
eval_L1_S2,0.7965379102551857,,3.5781667637162236,False,True,2.6730486086702476,90,13.972540855407715,-0.0002679092814642676,0.03368232387128272,0.07804032078425589
eval_L1_S3,0.8607437115286967,0.0001,,True,False,3.0052684129792215,60,8.630016803741455,-0.0002989178752012013,0.03571402341592823,0.08571353891906741
eval_L2_S1,0.8019366347052682,,4.9999303931173715,False,True,2.6812507293191707,78,11.109092712402344,-0.00026680850259427647,0.03373397257163286,0.07834310588816489
eval_L2_S2,0.8457876626703932,0.0001,,True,False,3.3780336073934913,66,9.569278717041016,-0.00025838879277293553,0.03786467453879007,0.09042008689184146
eval_L2_S3,0.8057692482559975,,4.99977548850918,False,True,2.522836056276315,69,9.258031606674194,-0.00030151275915029876,0.03272189414943505,0.07689521436670863
eval_L3_S1,0.8431851062017195,0.0001,,True,False,4.903427496557674,117,16.12414813041687,-0.00023372178576021012,0.04562013189137351,0.10301913266521472
eval_L3_S2,0.8109423676117394,0.0035264419561508377,,True,False,3.746185595457937,72,10.534579038619995,-0.00039402311462687436,0.039873632183658796,0.08782215300613297
eval_L3_S3,0.8075697879981485,,0.31518279886095835,False,True,2.778747248637136,204,30.13780903816223,-0.00029767844498772213,0.03434160310182526,0.07945502898953324
eval_L4_S1,0.8133868017022974,0.0001,4.999924228956046,True,True,3.6023615456095275,68,9.563350200653076,-0.00024439524618713525,0.03910186961170365,0.08908762430896149
eval_L4_S2,0.810009354397931,0.0001,4.999984680142543,True,True,3.31162449333171,68,9.622402906417847,-0.00031275124983515826,0.03749020271051222,0.08551864087510383
eval_L4_S3,0.8434546985030045,0.0271058294527512,1.5193437373703518,True,True,4.641092681375621,288,41.906625270843506,-0.0005233325454977738,0.0443805096642878,0.0932640394139734
eval_L5_S1,0.7907760711119078,0.0001,4.99894091326543,True,True,3.983706029561356,96,14.651246309280396,-0.00030565680814177026,0.04111913783726356,0.09034306508872492
eval_L5_S2,0.7976103583852874,0.0001,,True,False,4.207857007201821,51,7.120269298553467,-0.00030321945569360077,0.042260211350576546,0.09264728090354334
eval_L5_S3,0.8273276272429386,,3.8312779934427255,False,True,2.4957690410512,405,60.33549094200134,-0.00028559232755660693,0.032546015997857516,0.07772251914098285
eval_L6_S1,0.840838598793563,,9.426914551398017,False,True,2.068743410472006,108,18.003393411636353,-0.0002812473877599625,0.029630986358354997,0.07378911638421463
eval_L6_S2,0.8273077198549641,0.0001,5.000067089788472,True,True,3.9713077707560025,92,14.600600481033325,-0.00029683339733771404,0.041055162813593796,0.0935239623148927
eval_L6_S3,0.8166804348457704,0.0001,4.999952459508229,True,True,3.6080638290663796,76,10.818304061889648,-0.0003301628217404145,0.03913217669292206,0.08702274021938648
eval_L7_S1,0.8677275687648822,0.0001,6.2536640511737716,True,True,3.485495437883565,288,40.30808973312378,-0.00025252778358161366,0.038462300435575004,0.09152614511085777
eval_L7_S2,0.8305005083255382,0.0001,4.988252862729293,True,True,5.299955469470673,212,30.634953498840332,-0.0002971639825367593,0.04742856042983359,0.09745862258105548
eval_L7_S3,0.8165410205828312,0.0001,,True,False,4.698562917980857,42,5.772465229034424,-0.00030603564334080806,0.0446565000495564,0.09786148531967337
